timestamp,from,to,power,predicted_power,energy,predicted_energy,price,revenue
2022/4/25 00:00,PV003,Grid,0,0,0,0,5.5,0
2022/4/25 01:00,PV003,Grid,0,0,0,0,5.5,0
2022/4/25 02:00,PV003,Grid,0,0,0,0,5.5,0
2022/4/25 03:00,PV003,Grid,0,0,0,0,5.5,0
2022/4/25 04:00,PV003,Grid,0,0,0,0,5.5,0
2022/4/25 05:00,PV003,Grid,8,3.2,0,8,5.5,0
2022/4/25 06:00,PV003,Grid,12,4,6.7,12,5.5,36.85
2022/4/25 07:00,PV003,Grid,21,10.4,3.2,21,5.5,17.6
2022/4/25 08:00,PV003,Grid,45,33,21,45,5.5,115.5
2022/4/25 09:00,PV003,Grid,90,78,45,90,5.5,247.5
2022/4/25 10:00,PV003,Grid,120,101,67,120,5.5,368.5
2022/4/25 11:00,PV003,Grid,131,110,100,131,5.5,550
2022/4/25 12:00,PV003,Grid,168,145,78,168,5.5,429
2022/4/25 13:00,PV003,Grid,154,136,111,154,5.5,610.5
2022/4/25 14:00,PV003,Grid,145,127,98,145,5.5,539
2022/4/25 15:00,PV003,Grid,131,120,114,131,5.5,627
2022/4/25 16:00,PV003,Grid,111,111,102,111,5.5,561
2022/4/25 17:00,PV003,Grid,81,78,52,81,5.5,286
2022/4/25 18:00,PV003,Grid,43,52,32,43,5.5,176
2022/4/25 19:00,PV003,Grid,2,13,0,2,5.5,0
2022/4/25 20:00,PV003,Grid,0,0,0,0,5.5,0
2022/4/25 21:00,PV003,Grid,0,0,0,0,5.5,0
2022/4/25 22:00,PV003,Grid,0,0,0,0,5.5,0
2022/4/25 23:00,PV003,Grid,0,0,0,0,5.5,0
2022/4/26 00:00,PV003,Grid,0,0,0,0,5.5,0
